#N: 3053
#c i v
 0      0 -4.54321e+00 
 0      1 -4.19362e+00 
 0      2 -3.91838e+00 
 0      3 -3.45877e+00 
 0      4 +3.87574e-01 
 0      5 -1.95808e-01 
 0      6 -3.84868e+00 
 0      7 -2.33654e+00 
 0      8 -3.40265e+00 
 0      9 -4.03542e+00 
 0     10 -4.21137e+00 
 0     11 -4.05879e+00 
 0     12 -2.60501e+00 
 0     13 -8.94049e-01 
 0     14 -1.61932e-01 
 0     15 -2.90113e+00 
 0     16 -4.24930e+00 
 0     17 -3.88634e+00 
 0     18 -3.12048e+00 
 0     19 -4.09829e+00 
 0     20 -3.12963e+00 
 0     21 -3.96885e+00 
 0     22 -4.29797e+00 
 0     23 -4.16554e+00 
 0     24 -4.24563e+00 
 0     25 -4.17227e+00 
 0     26 -4.15041e+00 
 0     27 -4.16164e+00 
 0     28 -4.08450e+00 
 0     29 -3.63584e+00 
 0     30 -2.36131e+00 
 0     31 -4.06491e+00 
 0     32 -3.98726e+00 
 0     33 -3.66733e+00 
 0     34 +1.87790e-01 
 0     35 -2.89440e+00 
 0     36 -4.13574e+00 
 0     37 -3.18472e+00 
 0     38 -3.43179e+00 
 0     39 -3.23584e+00 
 0     40 -4.00078e+00 
 0     41 -3.79970e+00 
 0     42 -2.30990e+00 
 0     43 -3.73778e+00 
 0     44 -4.02295e+00 
 0     45 -3.77570e+00 
 0     46 -3.97051e+00 
 0     47 -9.74589e-01 
 0     48 +6.82045e-01 
 0     49 +2.32194e+00 
 0     50 +1.66812e+00 
 0     51 -2.25311e+00 
 0     52 -4.02466e+00 
 0     53 -4.08620e+00 
 0     54 -4.04925e+00 
 0     55 -1.86585e+00 
 0     56 +1.60859e+00 
 0     57 +1.61249e+00 
 0     58 +1.63942e+00 
 0     59 +4.64247e-01 
 0     60 +2.00653e+00 
 0     61 -1.12012e+00 
 0     62 -2.39647e+00 
 0     63 -2.19408e+00 
 0     64 +4.14630e-01 
 0     65 -6.42354e-01 
 0     66 +2.02677e+00 
 0     67 -2.36966e-01 
 0     68 -6.58839e-01 
 0     69 +3.30139e-01 
 0     70 -5.10855e-01 
 0     71 +1.19082e+00 
 0     72 +1.73890e+00 
 0     73 +1.80886e+00 
 0     74 +2.23379e+00 
 0     75 +1.98136e+00 
 0     76 +2.16328e+00 
 0     77 +2.30874e+00 
 0     78 +2.78436e-01 
 0     79 +2.74672e+00 
 0     80 +2.11316e+00 
 0     81 -1.07434e+00 
 0     82 -1.29541e+00 
 0     83 +3.19789e-01 
 0     84 -3.59736e-01 
 0     85 -2.72946e+00 
 0     86 +1.21995e-01 
 0     87 -1.79715e+00 
 0     88 -1.53320e+00 
 0     89 +2.57368e-02 
 0     90 -5.79792e-01 
 0     91 +2.32438e-01 
 0     92 -1.26748e-01 
 0     93 -2.43867e+00 
 0     94 -1.68015e+00 
 0     95 -2.58666e+00 
 0     96 -1.32718e+00 
 0     97 +3.67905e-01 
 0     98 +2.35611e+00 
 0     99 +1.01764e+00 
 0    100 -1.78796e+00 
 0    101 -8.68368e-01 
 0    102 +1.40042e+00 
 0    103 +1.44278e+00 
 0    104 +2.28543e+00 
 0    105 +2.81282e+00 
 0    106 +2.86843e+00 
 0    107 +2.33211e+00 
 0    108 +1.81895e+00 
 0    109 -2.99771e+00 
 0    110 -3.88603e+00 
 0    111 -1.13869e+00 
 0    112 -1.43363e+00 
 0    113 -2.75235e+00 
 0    114 -1.59905e+00 
 0    115 +8.87869e-02 
 0    116 -1.89491e+00 
 0    117 -2.11623e+00 
 0    118 +5.22545e-01 
 0    119 +2.99993e-01 
 0    120 -3.05535e+00 
 0    121 -1.26889e+00 
 0    122          NaN 
 0    123          NaN 
 0    124          NaN 
 0    125          NaN 
 0    126          NaN 
 0    127          NaN 
 0    128          NaN 
 0    129          NaN 
 0    130          NaN 
 0    131          NaN 
 0    132          NaN 
 0    133          NaN 
 0    134          NaN 
 0    135          NaN 
 0    136          NaN 
 0    137          NaN 
 0    138          NaN 
 0    139          NaN 
 0    140          NaN 
 0    141          NaN 
 0    142          NaN 
 0    143          NaN 
 0    144 -3.20662e+00 
 0    145 -3.32419e+00 
 0    146 -8.58304e-01 
 0    147 -2.01094e+00 
 0    148          NaN 
 0    149 -3.38718e+00 
 0    150 -4.05776e+00 
 0    151 -3.69290e+00 
 0    152 +5.95028e-01 
 0    153 -2.41433e+00 
 0    154 -4.27869e+00 
 0    155 -3.97930e+00 
 0    156 -4.06645e+00 
 0    157 +3.81837e-01 
 0    158 +1.79630e+00 
 0    159 +7.60075e-01 
 0    160 -2.05772e+00 
 0    161 -2.57226e+00 
 0    162 -3.71078e-01 
 0    163 +1.06526e+00 
 0    164 +3.37451e-01 
 0    165 -1.53289e-01 
 0    166 +8.95429e-01 
 0    167 -2.70006e+00 
 0    168 -5.94986e-02 
 0    169 +3.32263e-01 
 0    170 +9.78066e-01 
 0    171 +4.10676e-01 
 0    172 +1.55264e+00 
 0    173 +9.15195e-02 
 0    174 +1.35218e+00 
 0    175 -6.81427e-01 
 0    176 +1.46298e+00 
 0    177 +1.47323e+00 
 0    178 -6.88508e-01 
 0    179 -1.47121e+00 
 0    180 -2.54721e+00 
 0    181 +7.92958e-01 
 0    182 -1.31831e+00 
 0    183 -2.98377e+00 
 0    184 -4.63926e-01 
 0    185 +1.34412e+00 
 0    186 +1.52366e+00 
 0    187 +2.04938e+00 
 0    188 +1.40477e+00 
 0    189 +1.67497e+00 
 0    190 +2.43318e+00 
 0    191 +3.00075e+00 
 0    192 +8.31975e-01 
 0    193 +1.68432e+00 
 0    194 +3.43113e+00 
 0    195 +2.67371e+00 
 0    196 +2.71565e+00 
 0    197 +2.72816e-01 
 0    198 +7.59100e-01 
 0    199 -5.82001e-01 
 0    200 -3.50436e+00 
 0    201 -3.87840e+00 
 0    202 -4.10685e+00 
 0    203 -3.75973e+00 
 0    204 -3.78760e+00 
 0    205 -4.08838e+00 
 0    206 -2.86175e+00 
 0    207 +1.18764e-01 
 0    208 +8.40994e-01 
 0    209 +1.23560e+00 
 0    210 +5.43762e-01 
 0    211 -1.20653e+00 
 0    212 -3.44938e+00 
 0    213 -5.87965e-01 
 0    214 -7.15625e-01 
 0    215 +8.96262e-01 
 0    216 +1.41647e+00 
 0    217 +7.69325e-01 
 0    218 +5.85181e-01 
 0    219 +3.93286e-01 
 0    220 -7.06152e-01 
 0    221 +2.65469e+00 
 0    222 +1.64015e+00 
 0    223 +1.42918e-01 
 0    224 -2.45913e+00 
 0    225 -1.13356e+00 
 0    226 -3.96353e+00 
 0    227 -2.49280e+00 
 0    228 -3.32214e+00 
 0    229 -2.09273e+00 
 0    230 -5.44893e-01 
 0    231 -1.88549e-01 
 0    232 +1.41162e-01 
 0    233 +1.26397e+00 
 0    234 -1.54324e-02 
 0    235 -3.01338e+00 
 0    236 -1.28317e+00 
 0    237 +1.27426e+00 
 0    238 +5.13556e-02 
 0    239 +2.19465e+00 
 0    240 +1.51495e+00 
 0    241 +1.90692e+00 
 0    242 -1.08514e+00 
 0    243 -1.12968e+00 
 0    244 -1.01275e+00 
 0    245 +5.65104e-01 
 0    246 -7.06542e-01 
 0    247 +1.06480e+00 
 0    248 +3.49379e+00 
 0    249          NaN 
 1    250 +2.25842e-01 
 1    251 +3.52167e-01 
 1    252 +2.21115e+00 
 1    253 -8.24452e-01 
 1    254 +2.82848e+00 
 1    255 +2.74571e+00 
 1    256 +2.37937e+00 
 1    257 +2.18931e+00 
 1    258 +1.03125e+00 
 1    259 -3.06370e+00 
 1    260 -3.74328e+00 
 1    261 -1.69907e+00 
 1    262 +2.61736e+00 
 1    263 +2.49977e+00 
 1    264 +1.96168e+00 
 1    265 -3.56624e-01 
 1    266 +1.16653e+00 
 1    267 +1.74873e+00 
 1    268 +1.14224e+00 
 1    269 +1.59976e+00 
 1    270 -2.34031e+00 
 1    271 +1.91580e+00 
 1    272 +2.94661e+00 
 1    273 -7.73301e-02 
 1    274 -3.28311e+00 
 1    275 -4.19230e+00 
 1    276 -4.19151e+00 
 1    277 -3.90390e+00 
 1    278 -2.08176e+00 
 1    279 -1.05570e+00 
 1    280 -1.23412e+00 
 1    281 +1.31062e+00 
 1    282 -1.88079e+00 
 1    283 +1.71228e+00 
 1    284 +3.09246e+00 
 1    285 +3.21058e+00 
 1    286 +4.72817e-01 
 1    287 -2.12798e+00 
 1    288 -2.17278e+00 
 1    289 -3.22241e+00 
 1    290 +1.52039e+00 
 1    291 +2.14393e+00 
 1    292 -3.10282e+00 
 1    293 -3.76953e+00 
 1    294 -3.92848e+00 
 1    295 -3.55129e+00 
 1    296 -3.25258e+00 
 1    297 -3.96956e+00 
 1    298 -2.16867e+00 
 1    299 -2.58263e-01 
 1    300 -8.50294e-01 
 1    301 +7.59838e-01 
 1    302 +8.33345e-01 
 1    303 +5.23953e-01 
 1    304 -2.88612e+00 
 1    305 -2.55088e+00 
 1    306 +2.02555e+00 
 1    307 +2.50880e+00 
 1    308 +9.79452e-01 
 1    309 +1.74118e+00 
 1    310 -7.28333e-01 
 1    311 -3.82637e+00 
 1    312 -3.35862e+00 
 1    313 -1.70755e+00 
 1    314 -3.33319e+00 
 1    315 -2.75135e+00 
 1    316 +8.25215e-01 
 1    317 +1.25296e+00 
 1    318 +1.89776e-03 
 1    319 -2.42729e+00 
 1    320 -3.71562e+00 
 1    321 -3.26476e+00 
 1    322 -1.08729e+00 
 1    323 -3.67108e+00 
 1    324 -4.09200e+00 
 1    325 -1.83036e+00 
 1    326 +1.05987e+00 
 1    327 +2.22593e+00 
 1    328 +2.22791e+00 
 1    329 +2.65687e+00 
 1    330 +1.47216e+00 
 1    331 +2.98816e-01 
 1    332 +5.64599e-01 
 1    333 +1.69867e+00 
 1    334 +1.50773e+00 
 1    335 -3.83754e+00 
 1    336 -2.47520e+00 
 1    337 +5.50641e-02 
 1    338 -1.95264e-01 
 1    339 +9.76932e-01 
 1    340 -9.15570e-01 
 1    341 +1.70245e+00 
 1    342 +1.70245e+00 
 1    343          NaN 
 1    344          NaN 
 1    345 -1.42619e+00 
 1    346 -2.29165e+00 
 1    347 -3.85013e+00 
 1    348 -3.79442e+00 
 1    349 -2.52879e+00 
 1    350 -1.91873e+00 
 1    351 -2.67620e+00 
 1    352 -1.84388e-01 
 1    353 +1.96118e+00 
 1    354 +2.66418e+00 
 1    355 -3.22236e-01 
 1    356 -8.75922e-01 
 1    357 +2.03573e+00 
 1    358 +2.00251e+00 
 1    359 -1.58729e+00 
 1    360 -1.45791e+00 
 1    361 -1.32654e+00 
 1    362 -2.32851e+00 
 1    363 -2.54036e+00 
 1    364 -1.51475e+00 
 1    365 +2.36812e-01 
 1    366 -1.70760e-01 
 1    367 +1.62411e+00 
 1    368 +8.24006e-01 
 1    369 -1.89764e-01 
 1    370 -3.03301e+00 
 1    371 -4.02468e+00 
 1    372 -1.98605e+00 
 1    373 +1.92299e+00 
 1    374 +2.48416e+00 
 1    375 +1.91399e+00 
 1    376 +2.63905e+00 
 1    377 -6.67069e-01 
 1    378 -3.79087e+00 
 1    379 +4.69595e-01 
 1    380 +2.68987e-01 
 1    381 -2.14388e+00 
 1    382 +8.78111e-01 
 1    383 +1.82256e+00 
 1    384 -1.94371e-01 
 1    385 -1.42408e+00 
 1    386 -2.64958e+00 
 1    387 -7.88537e-02 
 1    388 -8.07367e-01 
 1    389 +7.78701e-01 
 1    390 +3.53003e-01 
 1    391 -7.73964e-01 
 1    392 +1.04715e+00 
 1    393 +2.60424e+00 
 1    394 -6.33420e-01 
 1    395 -4.31533e-02 
 1    396 +9.78743e-01 
 1    397 -1.09207e-01 
 1    398 -1.78067e+00 
 1    399 -1.67921e+00 
 1    400 -4.10628e-01 
 1    401 -8.13569e-01 
 1    402 -2.77814e+00 
 1    403 -1.23933e+00 
 1    404 +1.42280e+00 
 1    405 +1.06333e+00 
 1    406 +5.91011e-01 
 1    407 -1.49792e+00 
 1    408 -1.68472e-01 
 1    409 -1.71006e+00 
 1    410 -2.15635e+00 
 1    411 +4.02164e-01 
 1    412 +1.70193e+00 
 1    413 +2.75764e+00 
 1    414 +9.11573e-01 
 1    415 +7.53460e-01 
 1    416 +1.62071e+00 
 1    417 +2.23551e+00 
 1    418 +4.06913e-02 
 1    419 -1.21032e+00 
 1    420 -2.29423e+00 
 1    421 -3.32951e+00 
 1    422 -3.80483e+00 
 1    423 -3.87905e+00 
 1    424 -3.82109e+00 
 1    425 -3.47189e+00 
 1    426 -1.57383e+00 
 1    427 -1.91718e+00 
 1    428 -2.79280e+00 
 1    429 -2.46168e+00 
 1    430 -2.30407e+00 
 1    431 -2.63185e+00 
 1    432 -1.89027e+00 
 1    433 -9.75174e-01 
 1    434 +1.07265e+00 
 1    435 +2.24287e+00 
 1    436 +1.88558e+00 
 1    437 +1.67773e+00 
 1    438 +2.41338e+00 
 1    439 +1.30015e+00 
 1    440 +8.49399e-01 
 1    441 -7.60806e-01 
 1    442 -6.39083e-01 
 1    443 +1.90104e+00 
 1    444 +1.75323e+00 
 1    445 +2.16667e+00 
 1    446 +1.92610e+00 
 1    447 +1.37639e+00 
 1    448 +6.95593e-01 
 1    449 +3.16262e+00 
 1    450 +1.83300e-01 
 1    451 -1.56421e+00 
 1    452 -2.65386e+00 
 1    453 -2.72711e+00 
 1    454 -1.07743e+00 
 1    455 +5.08733e-01 
 1    456 -7.87838e-01 
 1    457 -2.61095e+00 
 1    458 -3.01186e+00 
 1    459 +2.27607e+00 
 1    460 +2.03259e+00 
 1    461 +2.05974e+00 
 1    462 +1.59461e+00 
 1    463 +2.61831e+00 
 1    464 +2.24322e+00 
 1    465 +2.31965e+00 
 1    466 +5.27310e-01 
 1    467 -2.01715e+00 
 1    468 -2.03527e+00 
 1    469 -3.68387e+00 
 1    470 -1.02743e+00 
 1    471 +2.28059e+00 
 1    472 -8.73413e-01 
 1    473 +8.54821e-01 
 1    474 +1.16722e+00 
 1    475 +1.71999e+00 
 1    476 +3.39144e+00 
 1    477 +2.04158e+00 
 1    478 -3.02857e-01 
 1    479 +2.83892e+00 
 1    480 +1.39429e+00 
 1    481 -2.38666e-01 
 1    482 -3.65915e+00 
 1    483 -3.66891e+00 
 1    484 -2.49980e+00 
 1    485 -1.46066e+00 
 1    486 -1.41790e+00 
 1    487 +2.69273e-02 
 1    488 -1.81608e+00 
 1    489 -2.04869e+00 
 1    490 -2.06618e+00 
 1    491 -3.78459e+00 
 1    492 -4.28002e+00 
 1    493          NaN 
 2    494 +1.93203e+00 
 2    495 +1.48296e+00 
 2    496 +3.36564e+00 
 2    497 +2.53934e+00 
 2    498 +2.40684e-01 
 2    499 +1.75120e+00 
 2    500 +2.70782e+00 
 2    501 +3.39416e+00 
 2    502 +7.65983e-01 
 2    503 -3.22103e+00 
 2    504 -3.38129e+00 
 2    505 -2.63283e+00 
 2    506 -3.95629e+00 
 2    507 -3.37037e+00 
 2    508 -3.43461e+00 
 2    509 -2.06119e+00 
 2    510 -1.70278e+00 
 2    511 -7.67158e-01 
 2    512 +1.32553e+00 
 2    513 +1.75080e+00 
 2    514 +1.87521e+00 
 2    515 +1.81563e+00 
 2    516 +3.12195e+00 
 2    517 -1.67674e+00 
 2    518 -3.46725e-01 
 2    519 +1.17326e+00 
 2    520 +2.70596e+00 
 2    521 +9.24069e-01 
 2    522 +2.43791e+00 
 2    523 +6.79843e-01 
 2    524 -8.07789e-01 
 2    525 -1.38509e+00 
 2    526 -4.03412e+00 
 2    527 -2.07118e+00 
 2    528 +2.82007e+00 
 2    529 +1.96615e+00 
 2    530 +1.83658e+00 
 2    531 -2.30806e+00 
 2    532 -1.90083e+00 
 2    533 -5.77504e-01 
 2    534 +2.02101e-01 
 2    535 +5.44233e-01 
 2    536 -2.09350e+00 
 2    537 -1.24081e+00 
 2    538 -2.36971e+00 
 2    539 -2.89162e+00 
 2    540 -2.82241e+00 
 2    541 -4.45113e+00 
 2    542 -4.20356e+00 
 2    543 -4.31112e+00 
 2    544 -4.29481e+00 
 2    545 -3.81333e+00 
 2    546 -4.37354e+00 
 2    547 -3.55317e+00 
 2    548 -2.31137e+00 
 2    549 -2.05306e+00 
 2    550 -2.78031e+00 
 2    551 -3.75374e+00 
 2    552 -2.62071e+00 
 2    553 -1.61346e+00 
 2    554 -2.57885e+00 
 2    555 -2.70329e+00 
 2    556 -1.10458e+00 
 2    557 +4.74465e-03 
 2    558 -1.76179e+00 
 2    559 -1.11583e+00 
 2    560 -1.06057e+00 
 2    561 +8.63169e-01 
 2    562 +1.25632e+00 
 2    563 -3.07417e+00 
 2    564 -2.81066e+00 
 2    565 -3.74994e+00 
 2    566 -3.62743e+00 
 2    567 -2.45039e+00 
 2    568 -5.89048e-01 
 2    569 +1.88865e-01 
 2    570 +3.18693e-01 
 2    571 -1.13432e+00 
 2    572 -1.81843e+00 
 2    573 -9.21029e-01 
 2    574 +1.13416e+00 
 2    575 +3.63123e-01 
 2    576 +2.00398e+00 
 2    577 +2.96486e+00 
 2    578 +1.26451e+00 
 2    579 -1.61081e-01 
 2    580 +9.63245e-01 
 2    581 +1.78838e+00 
 2    582 +7.96817e-01 
 2    583 -1.00136e+00 
 2    584 -1.92616e-01 
 2    585          NaN 
 2    586          NaN 
 2    587 +1.62630e-01 
 2    588 +1.66211e+00 
 2    589 +1.41555e+00 
 2    590 +1.97580e+00 
 2    591 +7.95517e-02 
 2    592 +1.75963e+00 
 2    593 -1.83897e-01 
 2    594 +9.71518e-01 
 2    595 +8.88294e-01 
 2    596 +2.54739e+00 
 2    597 +3.17639e+00 
 2    598 +2.83495e+00 
 2    599 +1.48617e+00 
 2    600 +1.91663e+00 
 2    601 -7.44430e-01 
 2    602 -1.16234e+00 
 2    603 -1.03374e-01 
 2    604 +4.31236e-01 
 2    605 -1.97529e-02 
 2    606 -1.05315e+00 
 2    607 -2.44852e+00 
 2    608 -1.83975e+00 
 2    609 +1.04388e+00 
 2    610 +6.84092e-01 
 2    611 +1.49928e+00 
 2    612 +1.66323e-01 
 2    613 -1.59074e+00 
 2    614 +8.59830e-01 
 2    615 +7.01508e-01 
 2    616 -3.09054e+00 
 2    617 -2.87164e+00 
 2    618 -3.34675e+00 
 2    619 -3.47804e+00 
 2    620 -3.73462e+00 
 2    621 -4.02590e+00 
 2    622 -4.32749e+00 
 2    623 -2.58938e+00 
 2    624 +1.15882e+00 
 2    625 +1.14586e+00 
 2    626 +9.84101e-01 
 2    627 -8.69618e-01 
 2    628 -5.11220e-01 
 2    629 -2.64146e-01 
 2    630 -2.16000e+00 
 2    631 +2.03581e-01 
 2    632 -1.21780e+00 
 2    633 -8.63321e-01 
 2    634 -1.26305e+00 
 2    635 -3.46064e+00 
 2    636 -2.14504e+00 
 2    637 -3.70559e-01 
 2    638 +2.56759e-01 
 2    639 +1.59072e-01 
 2    640 +1.87296e+00 
 2    641 +2.50597e+00 
 2    642 +4.92545e-01 
 2    643 -2.74377e+00 
 2    644 -1.57092e+00 
 2    645 +1.20901e+00 
 2    646 +8.50188e-01 
 2    647 +1.05064e+00 
 2    648 -9.76669e-01 
 2    649 -2.06781e+00 
 2    650 -1.16267e+00 
 2    651 +1.75785e+00 
